id,memspec,mcconfig,addressmapping
0,HBM2.json,fifo.json,am_ddr3_4x4Gbx16_dimm_p2KB_brc.json
1,HBM2.json,fifo.json,am_ddr3_4x4Gbx16_dimm_p2KB_rbc.json
2,HBM2.json,fifo.json,am_ddr3_8x1Gbx8_dimm_p1KB_brc.json
3,HBM2.json,fifo.json,am_ddr3_8x1Gbx8_dimm_p1KB_rbc.json
4,HBM2.json,fifo.json,am_ddr3_8x2Gbx8_dimm_p1KB_brc.json
5,HBM2.json,fifo.json,am_ddr3_8x2Gbx8_dimm_p1KB_rbc.json
6,HBM2.json,fifo.json,am_ddr3_x16_brc.json
7,HBM2.json,fifo.json,am_ddr3_x16_rbc.json
8,HBM2.json,fifo.json,am_ddr4_8x4Gbx8_dimm_p1KB_brc.json
9,HBM2.json,fifo.json,am_hbm2_8Gb_pc_brc.json
10,HBM2.json,fifo.json,am_lpddr4_1Gbx16_baroco.json
11,HBM2.json,fifo.json,am_lpddr4_1Gbx16_robaco.json
12,HBM2.json,fifo.json,am_lpddr4_1Gbx16_rocoba.json
13,HBM2.json,fifo.json,am_lpddr4_512Mbx16_baroco.json
14,HBM2.json,fifo.json,am_lpddr4_512Mbx16_robaco.json
15,HBM2.json,fifo.json,am_lpddr4_512Mbx16_rocoba.json
16,HBM2.json,fifo.json,am_lpddr4_8Gbx16_brc.json
17,HBM2.json,fifo.json,am_stt-mram_8x2Gbx8_dimm_p1KB_rbc.json
18,HBM2.json,fifo.json,am_wideio2_4x64_4x2Gb_brc.json
19,HBM2.json,fifo.json,am_wideio2_4x64_4x2Gb_rbc.json
20,HBM2.json,fifo.json,am_wideio_4x1Gb_brc.json
21,HBM2.json,fifo.json,am_wideio_4x1Gb_rbc.json
22,HBM2.json,fifo.json,am_wideio_4x256Mb_brc.json
23,HBM2.json,fifo.json,am_wideio_4x256Mb_rbc.json
24,HBM2.json,fifo.json,am_wideio_4x2Gb_brc.json
25,HBM2.json,fifo.json,am_wideio_4x2Gb_rbc.json
26,HBM2.json,fifo.json,am_wideio_4x4Gb_brc.json
27,HBM2.json,fifo.json,am_wideio_4x4Gb_rbc.json
28,HBM2.json,fifo.json,am_wideio_4x512Mb_brc.json
29,HBM2.json,fifo.json,am_wideio_4x512Mb_rbc.json
30,HBM2.json,fifo.json,am_wideio_thermal.json
31,HBM2.json,fifoStrict.json,am_ddr3_4x4Gbx16_dimm_p2KB_brc.json
32,HBM2.json,fifoStrict.json,am_ddr3_4x4Gbx16_dimm_p2KB_rbc.json
33,HBM2.json,fifoStrict.json,am_ddr3_8x1Gbx8_dimm_p1KB_brc.json
34,HBM2.json,fifoStrict.json,am_ddr3_8x1Gbx8_dimm_p1KB_rbc.json
35,HBM2.json,fifoStrict.json,am_ddr3_8x2Gbx8_dimm_p1KB_brc.json
36,HBM2.json,fifoStrict.json,am_ddr3_8x2Gbx8_dimm_p1KB_rbc.json
37,HBM2.json,fifoStrict.json,am_ddr3_x16_brc.json
38,HBM2.json,fifoStrict.json,am_ddr3_x16_rbc.json
39,HBM2.json,fifoStrict.json,am_ddr4_8x4Gbx8_dimm_p1KB_brc.json
40,HBM2.json,fifoStrict.json,am_hbm2_8Gb_pc_brc.json
41,HBM2.json,fifoStrict.json,am_lpddr4_1Gbx16_baroco.json
42,HBM2.json,fifoStrict.json,am_lpddr4_1Gbx16_robaco.json
43,HBM2.json,fifoStrict.json,am_lpddr4_1Gbx16_rocoba.json
44,HBM2.json,fifoStrict.json,am_lpddr4_512Mbx16_baroco.json
45,HBM2.json,fifoStrict.json,am_lpddr4_512Mbx16_robaco.json
46,HBM2.json,fifoStrict.json,am_lpddr4_512Mbx16_rocoba.json
47,HBM2.json,fifoStrict.json,am_lpddr4_8Gbx16_brc.json
48,HBM2.json,fifoStrict.json,am_stt-mram_8x2Gbx8_dimm_p1KB_rbc.json
49,HBM2.json,fifoStrict.json,am_wideio2_4x64_4x2Gb_brc.json
50,HBM2.json,fifoStrict.json,am_wideio2_4x64_4x2Gb_rbc.json
51,HBM2.json,fifoStrict.json,am_wideio_4x1Gb_brc.json
52,HBM2.json,fifoStrict.json,am_wideio_4x1Gb_rbc.json
53,HBM2.json,fifoStrict.json,am_wideio_4x256Mb_brc.json
54,HBM2.json,fifoStrict.json,am_wideio_4x256Mb_rbc.json
55,HBM2.json,fifoStrict.json,am_wideio_4x2Gb_brc.json
56,HBM2.json,fifoStrict.json,am_wideio_4x2Gb_rbc.json
57,HBM2.json,fifoStrict.json,am_wideio_4x4Gb_brc.json
58,HBM2.json,fifoStrict.json,am_wideio_4x4Gb_rbc.json
59,HBM2.json,fifoStrict.json,am_wideio_4x512Mb_brc.json
60,HBM2.json,fifoStrict.json,am_wideio_4x512Mb_rbc.json
61,HBM2.json,fifoStrict.json,am_wideio_thermal.json
62,HBM2.json,fr_fcfs.json,am_ddr3_4x4Gbx16_dimm_p2KB_brc.json
63,HBM2.json,fr_fcfs.json,am_ddr3_4x4Gbx16_dimm_p2KB_rbc.json
64,HBM2.json,fr_fcfs.json,am_ddr3_8x1Gbx8_dimm_p1KB_brc.json
65,HBM2.json,fr_fcfs.json,am_ddr3_8x1Gbx8_dimm_p1KB_rbc.json
66,HBM2.json,fr_fcfs.json,am_ddr3_8x2Gbx8_dimm_p1KB_brc.json
67,HBM2.json,fr_fcfs.json,am_ddr3_8x2Gbx8_dimm_p1KB_rbc.json
68,HBM2.json,fr_fcfs.json,am_ddr3_x16_brc.json
69,HBM2.json,fr_fcfs.json,am_ddr3_x16_rbc.json
70,HBM2.json,fr_fcfs.json,am_ddr4_8x4Gbx8_dimm_p1KB_brc.json
71,HBM2.json,fr_fcfs.json,am_hbm2_8Gb_pc_brc.json
72,HBM2.json,fr_fcfs.json,am_lpddr4_1Gbx16_baroco.json
73,HBM2.json,fr_fcfs.json,am_lpddr4_1Gbx16_robaco.json
74,HBM2.json,fr_fcfs.json,am_lpddr4_1Gbx16_rocoba.json
75,HBM2.json,fr_fcfs.json,am_lpddr4_512Mbx16_baroco.json
76,HBM2.json,fr_fcfs.json,am_lpddr4_512Mbx16_robaco.json
77,HBM2.json,fr_fcfs.json,am_lpddr4_512Mbx16_rocoba.json
78,HBM2.json,fr_fcfs.json,am_lpddr4_8Gbx16_brc.json
79,HBM2.json,fr_fcfs.json,am_stt-mram_8x2Gbx8_dimm_p1KB_rbc.json
80,HBM2.json,fr_fcfs.json,am_wideio2_4x64_4x2Gb_brc.json
81,HBM2.json,fr_fcfs.json,am_wideio2_4x64_4x2Gb_rbc.json
82,HBM2.json,fr_fcfs.json,am_wideio_4x1Gb_brc.json
83,HBM2.json,fr_fcfs.json,am_wideio_4x1Gb_rbc.json
84,HBM2.json,fr_fcfs.json,am_wideio_4x256Mb_brc.json
85,HBM2.json,fr_fcfs.json,am_wideio_4x256Mb_rbc.json
86,HBM2.json,fr_fcfs.json,am_wideio_4x2Gb_brc.json
87,HBM2.json,fr_fcfs.json,am_wideio_4x2Gb_rbc.json
88,HBM2.json,fr_fcfs.json,am_wideio_4x4Gb_brc.json
89,HBM2.json,fr_fcfs.json,am_wideio_4x4Gb_rbc.json
90,HBM2.json,fr_fcfs.json,am_wideio_4x512Mb_brc.json
91,HBM2.json,fr_fcfs.json,am_wideio_4x512Mb_rbc.json
92,HBM2.json,fr_fcfs.json,am_wideio_thermal.json
93,HBM2.json,fr_fcfs_grp.json,am_ddr3_4x4Gbx16_dimm_p2KB_brc.json
94,HBM2.json,fr_fcfs_grp.json,am_ddr3_4x4Gbx16_dimm_p2KB_rbc.json
95,HBM2.json,fr_fcfs_grp.json,am_ddr3_8x1Gbx8_dimm_p1KB_brc.json
96,HBM2.json,fr_fcfs_grp.json,am_ddr3_8x1Gbx8_dimm_p1KB_rbc.json
